Function,Dimension,Loop,Time Taken,Fitness
1,1024,13,1330763.006000,0.031260
1,1024,14,1283456.143000,0.032600
1,1024,15,1405649.784000,0.034136
1,1024,16,1338840.755000,0.034884
1,1024,17,1439148.865000,0.033343
1,1024,18,1408834.023000,0.033958
1,1024,19,1405840.116000,0.034323
1,1024,20,1426632.838000,0.037770
1,1024,21,1439065.158000,0.033704
1,1024,22,1425808.398000,0.033807
1,1024,23,1501861.891000,0.035488
1,1024,24,1424099.782000,0.033334
1,1024,25,1420583.283000,0.033946
1,1024,26,1394691.563000,0.035961
1,1024,27,1362275.279000,0.031912
1,1024,28,1495344.585000,0.034294
1,1024,29,1459540.915000,0.033694
2,4,0,42.074000,1.009369
2,4,1,40.151000,0.070291
2,4,2,40.170000,1.280819
2,4,3,40.167000,1.404629
2,4,4,40.424000,0.019418
2,4,5,39.626000,0.014948
2,4,6,38.270000,1.821402
2,4,7,39.971000,1.051544
2,4,8,41.686000,0.118786
2,4,9,41.016000,0.127654
2,4,10,40.264000,0.078125
2,4,11,39.841000,0.073218
2,4,12,34.871000,0.898666
2,4,13,25.363000,1.238996
2,4,14,25.238000,0.002018
2,4,15,25.381000,1.391109
2,4,16,24.427000,0.464226
2,4,17,25.331000,0.235593
2,4,18,26.225000,0.729829
2,4,19,25.182000,0.041535
2,4,20,25.427000,0.796060
2,4,21,23.912000,1.026790
2,4,22,25.136000,0.400789
2,4,23,25.201000,0.065258
2,4,24,25.365000,0.274603
2,4,25,25.317000,0.076692
2,4,26,25.238000,0.188919
2,4,27,25.111000,0.090201
2,4,28,25.388000,0.382832
2,4,29,25.408000,0.051128
2,256,0,49618.753000,35.052791
2,256,1,51050.845000,21.515345
2,256,2,51933.979000,19.169673
2,256,3,49364.049000,39.967401
2,256,4,51214.988000,19.341588
2,256,5,56969.449000,20.020826
2,256,6,55299.319000,16.065291
2,256,7,54556.804000,19.696648
2,256,8,58146.709000,22.364755
2,256,9,50506.061000,23.707090
2,256,10,50210.205000,32.299927
2,256,11,57832.775000,16.275588
2,256,12,49602.069000,552.313341
2,256,13,50816.346000,29.271376
2,256,14,62028.304000,32.290231
2,256,15,55128.211000,16.962938
